Provider code,Provider name,Distance to University of Auckland,Distance to AUT,Distance to University of Waikato,Distance to Massey University,Distance to Victoria University of Wellington,Distance to University of Canterbury,Distance to Lincoln University,Distance to University of Otago,2017_TA,2017_Region,2017_urban_rural,2017_authority,2017_school_type,2017_school_gender,2017_decile,Decile,Decile_bands,Min distance to  Uni,Nearest Uni,Distance to nearest uni,Longitude,Latitude,Size
221,Te Wharekura o Ruatoki,315,316,206,422,604,"1,039","1,054","1,388",Whakatane District,Bay of Plenty Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,206,Hamilton,Remote,177.007448,-38.148073,65
238,Kaitaia Abundant Life School,315,315,444,835,"1,017","1,453","1,467","1,802",Far North District,Northland Region,Minor Urban Area,State : Integrated,Composite,Co-Educational,2,2,3-Lower,315,Auckland,Remote,173.257583,-35.107461,52
291,Rai Valley Area School,832,832,702,321,190,380,395,729,Marlborough District,Marlborough Region,Rural Area,State,Composite,Co-Educational,5,5,2-Middle,190,Wellington,Remote,173.58169,-41.23408,16
292,Golden Bay High School,983,983,853,472,341,476,491,825,Tasman District,Tasman Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,341,Wellington,Remote,172.808357,-40.848048,127
297,Tapawera Area School,917,918,788,406,275,374,389,723,Tasman District,Tasman Region,Rural Area,State,Composite,Co-Educational,4,4,3-Lower,275,Wellington,Remote,172.824973,-41.39319,33
311,Hurunui College,"1,038","1,038",908,527,396,83,97.8,432,Hurunui District,Canterbury Region,Rural Area,State,Composite,Co-Educational,7,7,2-Middle,83,Canterbury,Bus Range,172.637036,-42.92381,54
370,Maniototo Area School,"1,459","1,459","1,329",948,817,378,367,129,Central Otago District,Otago Region,Rural Area,State,Composite,Co-Educational,8,8,1-Higher,129,Otago,Remote,170.099776,-45.125268,35
390,Lawrence Area School,"1,527","1,528","1,398","1,016",886,446,435,94.1,Clutha District,Otago Region,Rural Area,State,Composite,Co-Educational,6,6,2-Middle,94.1,Otago,Bus Range,169.686812,-45.921137,25
395,Northern Southland College,"1,653","1,653","1,523","1,141","1,011",572,561,215,Southland District,Southland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,215,Otago,Remote,168.448746,-45.744018,39
424,Michael Park School,10.2,10.6,126,517,699,"1,135","1,149","1,484",Auckland - Orakei,Auckland Region,Main Urban Area,State : Integrated,Composite,Co-Educational,8,8,1-Higher,10.2,Auckland,Nearby,174.815655,-36.893517,39
425,Odyssey House School,12.2,12.5,134,524,706,"1,142","1,157","1,491",Auckland - Whau,Auckland Region,Main Urban Area,Private : Fully Registered,Secondary (Year 9-15),Co-Educational,99,99,1-Higher,12.2,Auckland,Nearby,174.705549,-36.898156,17
494,Putaruru College,189,189,59.1,337,519,954,969,"1,303",South Waikato District,Waikato Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,3,3,3-Lower,59.1,Hamilton,Bus Range,175.786837,-38.04016,156
496,Reefton Area School,"1,017","1,017",888,506,375,256,271,598,Buller District,West Coast Region,Minor Urban Area,State,Composite,Co-Educational,4,4,3-Lower,256,Canterbury,Remote,171.860873,-42.11524,45
550,Te Waha O Rerekohu Area School,498,498,388,566,707,"1,142","1,157","1,491",Gisborne District,Gisborne Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,388,Hamilton,Remote,178.365549,-37.633719,24
551,Coastal Taranaki School,387,387,266,238,422,858,873,"1,207",New Plymouth District,Taranaki Region,Rural Area,State,Composite,Co-Educational,7,7,2-Middle,238,Palmy,Remote,173.881544,-39.19286,33
706,Te Pa o Rakaihautu,"1,082","1,082",952,571,440,9.5,25.2,363,Christchurch City,Canterbury Region,Main Urban Area,State,Composite,Co-Educational,4,4,3-Lower,9.5,Canterbury,Nearby,172.672461,-43.52931,34
742,Te Kura o Te Whanau a Apanui,393,394,284,511,693,"1,129","1,143","1,478",Opotiki District,Bay of Plenty Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,284,Hamilton,Remote,177.634278,-37.814797,15
1143,Te Kura Kaupapa Maori O Nga Mokopuna,658,658,528,147,10,451,466,800,Wellington City,Wellington Region,Main Urban Area,State,Composite,Co-Educational,8,8,1-Higher,10,Wellington,Nearby,174.831725,-41.320703,19
1154,Te Kura Kaupapa Maori o Te Rawhitiroa,167,168,297,687,869,"1,305","1,320","1,654",Whangarei District,Northland Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,167,Auckland,Remote,174.326641,-35.677213,51
1175,Kaikohe Christian School,235,235,364,755,936,"1,372","1,387","1,721",Far North District,Northland Region,Minor Urban Area,State : Integrated,Composite,Co-Educational,2,2,3-Lower,235,Auckland,Remote,173.806566,-35.411304,33
1618,Te Kura Kaupapa Maori O Te Whanau Tahi,"1,093","1,093",963,582,451,6.3,18.1,358,Christchurch City,Canterbury Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,6.3,Canterbury,Nearby,172.614592,-43.564588,11
1631,Southern Regional Health School,"1,084","1,084",954,573,442,5.7,21.6,359,Christchurch City,Canterbury Region,Main Urban Area,State,Special School,Co-Educational,1,1,3-Lower,5.7,Canterbury,Nearby,172.632808,-43.53514,19
1634,Te Kura Maori o Porirua,629,629,499,117,25.2,461,476,810,Porirua City,Wellington Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,25.2,Wellington,Bus Range,174.878538,-41.122123,56
1670,Te Ara Whanui Kura Kaupapa Maori o Nga Kohanga Reo o Te Awa Kairangi,651,651,521,139,15,451,466,800,Lower Hutt City,Wellington Region,Main Urban Area,State,Composite (Year 1-10),Co-Educational,3,3,3-Lower,15,Wellington,Nearby,174.888332,-41.217843,23
2104,Te Kura Kaupapa Maori o Taumarere,220,220,349,740,922,"1,358","1,372","1,707",Far North District,Northland Region,Minor Urban Area,State,Composite,Co-Educational,2,2,3-Lower,220,Auckland,Remote,174.021052,-35.388157,10
2445,Te Kura Kaupapa Maori O Ngati Kahungunu ki Heretaunga,434,434,304,167,308,743,758,"1,092",Hastings District,Hawke's Bay Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,167,Palmy,Remote,176.7864,-39.642661,38
3115,Te Wharekura o Te Rau Aroha,142,142,42,383,565,"1,001","1,016","1,350",Matamata-Piako District,Waikato Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,42,Hamilton,Bus Range,175.675173,-37.668709,23
3117,Te Kura Kaupapa Maori o te Tonga o Hokianga,278,278,407,798,980,"1,416","1,430","1,765",Far North District,Northland Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,278,Auckland,Remote,173.462367,-35.474229,21
4145,Te Pihipihinga Kakano Mai i Rangiatea,365,365,244,242,426,862,877,"1,211",New Plymouth District,Taranaki Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,242,Palmy,Remote,174.035215,-39.072961,17
4208,Te Kura Kaupapa Maori A Rohe O Mangere,22.8,23.2,122,513,695,"1,130","1,145","1,480",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,22.8,Auckland,Nearby,174.79608,-36.96407,65
4212,Te Kura Whakapumau I Te Reo Tuturu Ki Waitaha,"1,085","1,085",956,574,443,10.7,22.3,360,Christchurch City,Canterbury Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,10.7,Canterbury,Nearby,172.656331,-43.55118,18
4226,Te Kura Kaupapa Maori O Tamaki Nui A Rua,537,538,408,62.1,203,638,653,987,Tararua District,Manawatu-Wanganui Region,Rural Area,State,Composite,Co-Educational,3,3,3-Lower,62.1,Palmy,Bus Range,176.088804,-40.221345,23
4227,Te Kura Kaupapa Maori O Kaikohe,236,236,365,756,938,"1,374","1,388","1,723",Far North District,Northland Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,236,Auckland,Remote,173.803358,-35.399996,55
4228,Te Kura Kaupapa Maori o Puau Te Moananui-a-Kiwa,10.8,11.2,128,519,701,"1,136","1,151","1,486",Auckland - Maungakiekie-Tamaki,Auckland Region,Main Urban Area,State,Composite,Co-Educational,2,2,3-Lower,10.8,Auckland,Nearby,174.860179,-36.873519,24
169,Taumarunui High School,278,279,157,243,425,861,875,"1,210",Ruapehu District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,157,Hamilton,Remote,175.248127,-38.863298,189
476,Tongariro School,329,329,199,199,381,816,831,"1,166",Taupo District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,199,Hamilton,Remote,175.815059,-38.98579,62
661,Tarawera High School,284,284,158,382,563,999,"1,014","1,348",Kawerau District,Bay of Plenty Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,158,Hamilton,Remote,176.709393,-38.087207,180
549,Taihape Area School,419,419,289,107,289,725,739,"1,074",Rangitikei District,Manawatu-Wanganui Region,Minor Urban Area,State,Composite,Co-Educational,4,4,3-Lower,107,Palmy,Bus Range,175.801513,-39.675965,83
624,Te Karaka Area School,451,451,341,414,555,990,"1,005","1,340",Gisborne District,Gisborne Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,341,Hamilton,Remote,177.866317,-38.469046,23
497,Te Kura O Hirangi,329,329,196,199,381,816,831,"1,166",Taupo District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,196,Hamilton,Remote,175.803418,-38.984401,54
1865,Te Wharekura o Maniapoto,198,198,76.9,330,511,947,962,"1,296",Waitomo District,Waikato Region,Rural Area,State,Composite,Co-Educational,3,3,3-Lower,76.9,Hamilton,Bus Range,175.116309,-38.315046,27
212,Tolaga Bay Area School,534,534,424,452,592,"1,028","1,043","1,377",Gisborne District,Gisborne Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,424,Hamilton,Remote,178.300177,-38.373074,52
409,Aparima College,"1,670","1,671","1,541","1,159","1,029",589,578,237,Southland District,Southland Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,237,Otago,Remote,168.016613,-46.353612,52
3101,Te Kura-a-iwi o Whakatupuranga Rua Mano,578,578,448,66.5,252,688,703,"1,037",Kapiti Coast District,Wellington Region,Minor Urban Area,State,Composite,Co-Educational,3,3,3-Lower,66.5,Palmy,Bus Range,175.135211,-40.751039,49
429,Excellere College,168,168,297,688,870,"1,305","1,320","1,654",Whangarei District,Northland Region,Main Urban Area,State : Integrated,Composite,Co-Educational,5,5,2-Middle,168,Auckland,Remote,174.298573,-35.669702,53
399,Central Southland College,"1,639","1,640","1,510","1,128",998,558,547,206,Southland District,Southland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,206,Otago,Remote,168.320121,-46.137197,321
232,Te Aute College,460,460,331,139,279,715,730,"1,064",Central Hawke's Bay District,Hawke's Bay Region,Rural Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),3,3,3-Lower,139,Palmy,Remote,176.629411,-39.826457,57
1672,Te Kura Kaupapa Maori o Nga Uri a Maui,477,477,367,396,537,972,987,"1,321",Gisborne District,Gisborne Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,367,Hamilton,Remote,177.997977,-38.643503,18
33,Hato Petera College,11.6,12,141,532,713,"1,149","1,164","1,498",Auckland - Kaipatiki,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,11.6,Auckland,Nearby,174.753142,-36.797973,15
12,Tauraroa Area School,158,158,287,678,860,"1,295","1,310","1,645",Whangarei District,Northland Region,Rural Area,State,Composite,Co-Educational,6,6,2-Middle,158,Auckland,Remote,174.218168,-35.873068,146
3107,Te Kura Kaupapa Maori O Te Ara Hou,417,417,287,184,325,761,776,"1,110",Napier City,Hawke's Bay Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,184,Palmy,Remote,176.891878,-39.509898,48
1165,Te Kura Kaupapa Maori O Ruamata,242,242,117,336,518,953,968,"1,303",Rotorua District,Bay of Plenty Region,Rural Area,State,Composite,Co-Educational,3,3,3-Lower,117,Hamilton,Remote,176.322678,-38.095664,76
6962,Te Wharekura o Mauao,198,198,98.1,394,576,"1,012","1,027","1,361",Tauranga City,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,3,3,3-Lower,98.1,Hamilton,Bus Range,176.109724,0,179
2377,Te Kura Kaupapa Maori O Tupoho,450,450,329,81.7,266,702,717,"1,051",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,81.7,Palmy,Bus Range,174.995812,-39.941396,34
18,Mangakahia Area School,178,179,308,698,880,"1,316","1,331","1,665",Whangarei District,Northland Region,Rural Area,State,Composite,Co-Educational,3,3,3-Lower,178,Auckland,Remote,174.058779,-35.732278,33
4230,Te Kura Kaupapa Maori O Whakarewa I Te Reo Ki Tuwharetoa,279,279,149,248,430,866,881,"1,215",Taupo District,Waikato Region,Secondary Urban Area,State,Composite,Co-Educational,2,2,3-Lower,149,Hamilton,Remote,176.074192,-38.68091,37
488,Nga Taiatea Wharekura,121,121,11.1,405,587,"1,022","1,037","1,371",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,11.1,Hamilton,Nearby,175.231112,-37.768016,170
400,Fiordland College,"1,717","1,718","1,588","1,206","1,076",636,625,293,Southland District,Southland Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,293,Otago,Remote,167.723689,-45.409262,79
308,Amuri Area School,"1,006","1,007",877,495,365,101,116,450,Hurunui District,Canterbury Region,Rural Area,State,Composite,Co-Educational,8,8,1-Higher,101,Canterbury,Bus Range,172.848256,-42.771117,55
125,Raglan Area School,160,161,52.7,429,611,"1,046","1,061","1,396",Waikato District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,4,4,3-Lower,52.7,Hamilton,Bus Range,174.866613,-37.807418,81
567,Te Wharekura o Te Kaokaoroa o Patetere,190,191,60.7,336,518,954,969,"1,303",South Waikato District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,2,2,3-Lower,60.7,Hamilton,Bus Range,175.774428,-38.044283,74
2084,Te Kura Mana Maori O Whangaparaoa,453,453,343,571,750,"1,186","1,201","1,535",Opotiki District,Bay of Plenty Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,343,Hamilton,Remote,177.997523,-37.574822,32
1616,Te Kura Kaupapa Maori O Ngati Kahungunu O Te Wairoa,505,505,375,300,440,876,891,"1,225",Wairoa District,Hawke's Bay Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,300,Palmy,Remote,177.417864,-39.041004,15
692,Te Kura Hourua o Whangarei Terenga Paraoa (Partnership School),163,163,292,683,864,"1,300","1,315","1,649",Whangarei District,Northland Region,Main Urban Area,Partnership School,Secondary (Year 7-15),Co-Educational,99,99,1-Higher,163,Auckland,Remote,174.330369,-35.727611,65
4217,Te Wharekura O Arowhenua,"1,639","1,640","1,510","1,128",997,558,547,206,Invercargill City,Southland Region,Main Urban Area,State,Composite,Co-Educational,2,2,3-Lower,206,Otago,Remote,168.394643,-46.416528,15
1147,Te Rangi Aniwaniwa,315,315,444,835,"1,017","1,453","1,467","1,802",Far North District,Northland Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,315,Auckland,Remote,173.289686,-35.070132,45
180,St Mary's Diocesan School,386,386,265,199,383,819,834,"1,168",Stratford District,Taranaki Region,Minor Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),5,5,2-Middle,199,Palmy,Remote,174.281297,-39.331771,86
309,Cheviot Area School,970,970,840,459,328,116,131,465,Hurunui District,Canterbury Region,Rural Area,State,Composite,Co-Educational,4,4,3-Lower,116,Canterbury,Remote,173.275547,-42.811459,30
353,Mackenzie College,"1,260","1,260","1,130",749,618,179,168,242,Mackenzie District,Canterbury Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,168,Canterbury,Remote,170.825165,-44.101614,78
435,Hukarere,397,398,268,202,343,778,793,"1,127",Hastings District,Hawke's Bay Region,Rural Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),2,2,3-Lower,202,Palmy,Remote,176.827686,-39.388577,54
1153,Te Kura Kaupapa Maori O Te Koutu,225,226,100,330,512,948,963,"1,297",Rotorua District,Bay of Plenty Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,100,Hamilton,Bus Range,176.234358,-38.119256,18
1798,Te Wharekura o Manaia,156,157,140,493,675,"1,111","1,126","1,460",Thames-Coromandel District,Waikato Region,Rural Area,State,Composite,Co-Educational,2,2,3-Lower,140,Hamilton,Remote,175.478775,-36.851534,23
3119,Te Kura Kaupapa Maori O Kawakawa Mai Tawhiti,486,487,377,577,718,"1,153","1,168","1,502",Gisborne District,Gisborne Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,377,Hamilton,Remote,178.29179,-37.591403,50
279,Te Kura Kaupapa Maori O Hoani Waititi,20.2,20.5,141,531,713,"1,149","1,164","1,498",Auckland - Waitakere Ranges,Auckland Region,Main Urban Area,State,Composite,Co-Educational,3,3,3-Lower,20.2,Auckland,Nearby,174.631691,-36.907202,77
1138,Christian Renewal School,160,160,289,680,862,"1,298","1,312","1,647",Whangarei District,Northland Region,Main Urban Area,State : Integrated,Composite,Co-Educational,4,4,3-Lower,160,Auckland,Remote,174.316495,-35.730345,51
224,Iona College,438,438,308,168,309,744,759,"1,093",Hastings District,Hawke's Bay Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),10,10,1-Higher,168,Palmy,Remote,176.878964,-39.679047,141
3114,Te Kura Kaupapa Maori o Pukemiro,315,315,444,835,"1,017","1,452","1,467","1,801",Far North District,Northland Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,315,Auckland,Remote,173.259188,-35.123178,29
3113,Te Wharekura O Manurewa,28.4,28.7,113,504,686,"1,121","1,136","1,471",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,28.4,Auckland,Bus Range,174.857339,-37.024419,27
222,St Joseph's Maori Girls' College,418,418,289,180,320,756,771,"1,105",Napier City,Hawke's Bay Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),2,2,3-Lower,180,Palmy,Remote,176.855479,-39.526564,97
196,Nga Tawa Diocesan School,489,489,359,49.2,234,670,684,"1,019",Rangitikei District,Manawatu-Wanganui Region,Rural Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),9,9,1-Higher,49.2,Palmy,Bus Range,175.398803,-40.067539,141
1584,Te Kura Kaupapa Maori O Te Raki Paewhenua,18.6,18.9,148,539,720,"1,156","1,171","1,505",Auckland - Upper Harbour,Auckland Region,Main Urban Area,State,Composite,Co-Educational,6,6,2-Middle,18.6,Auckland,Nearby,174.732119,-36.743396,41
299,Murchison Area School,933,933,803,422,291,294,308,643,Tasman District,Tasman Region,Rural Area,State,Composite,Co-Educational,4,4,3-Lower,291,Wellington,Remote,172.326529,-41.799471,25
533,Mount Aspiring College,"1,502","1,502","1,372",991,860,421,410,292,Queenstown-Lakes District,Otago Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,10,10,1-Higher,292,Otago,Remote,169.136772,-44.68733,363
4211,Te Kura Kaupapa Maori O Te Rito,578,578,448,66.6,252,688,703,"1,037",Kapiti Coast District,Wellington Region,Minor Urban Area,State,Composite,Co-Educational,5,5,2-Middle,66.6,Palmy,Bus Range,175.137507,-40.749911,17
1673,Te Kura Kaupapa Maori O Te Waiu O Ngati Porou,543,543,433,526,667,"1,103","1,118","1,452",Gisborne District,Gisborne Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,433,Hamilton,Remote,178.320958,-37.891158,65
528,Ponatahi Christian School,623,623,493,104,84.3,520,535,869,Carterton District,Wellington Region,Minor Urban Area,State : Integrated,Composite,Co-Educational,8,8,1-Higher,84.3,Wellington,Bus Range,175.522456,-41.032158,15
